OBJECTID;FID_1;LATITUDE;LONGITUDE;BRIGHTNESS;SCAN;TRACK;ACQ_DATE;ACQ_TIME;SATELLITE;INSTRUMENT;CONFIDENCE;VERSION;BRIGHT_T31;FRP;DAYNIGHT;TYPE;ID;MinElevation;MeanElevation;MaxElevation;MinSlope;MeanSlope;MaxSlope;MeanAspect;DEMResolution;ProductName;Source;Source_URL
98;2147;-33,9303;19,018;315,2;1,4;1,2;2019-03-27 0:00:00;2340;Aqua;MODIS;91;6.03;286,6;23,2;N;0;98;1001,66;1001,66;1001,66;27,94154;27,94154;27,94154;94,682449;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
99;2820;-34,01;19,0294;312,6;1,8;1,3;2021-02-27 0:00:00;0916;Terra;MODIS;38;6.03;296,4;18,1;D;0;99;1320,6;1320,6;1320,6;29,718113;29,718113;29,718113;290,28757;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
100;946;-33,9656;19,0051;302,9;1,4;1,2;2016-10-28 0:00:00;2339;Aqua;MODIS;45;6.03;283,9;11,6;N;0;100;1359;1359;1359;8,3577766;8,3577766;8,3577766;94,464027;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
101;1790;-33,9389;18,9372;308,1;1;1;2018-05-14 0:00:00;0854;Terra;MODIS;63;6.03;292,8;8,4;D;0;101;528,48999;528,48999;528,48999;22,986444;22,986444;22,986444;58,957596;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
102;308;-33,9696;18,9481;385,1;4,6;2;2015-03-11 0:00:00;0942;Terra;MODIS;100;6.03;299,1;1518,9;D;0;102;391,57999;391,57999;391,57999;7,7151542;7,7151542;7,7151542;234,15793;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
103;309;-33,9536;18,9908;316,2;4,6;2;2015-03-11 0:00:00;0942;Terra;MODIS;7;6.03;294,7;82,3;D;0;103;1091,8101;1091,8101;1091,8101;44,471825;44,471825;44,471825;206,94041;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
104;2677;-33,9803;19,0881;304,6;1,1;1;2021-02-23 0:00:00;2144;Terra;MODIS;46;6.03;287,1;9,2;N;0;104;665,34998;665,34998;665,34998;27,661745;27,661745;27,661745;250,89372;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
105;944;-33,9522;18,9912;307,2;1,4;1,2;2016-10-28 0:00:00;2339;Aqua;MODIS;71;6.03;286,4;15,5;N;0;105;1215,626;1215,626;1215,626;25,091391;25,091391;25,091391;190,98979;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
106;313;-33,9702;18,9806;346,4;4,6;2;2015-03-11 0:00:00;0942;Terra;MODIS;93;6.03;293,2;447,7;D;0;106;1243,01;1243,01;1243,01;49,716599;49,716599;49,716599;136,26643;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
107;2568;-33,9608;18,9307;346,2;1,6;1,2;2020-12-05 0:00:00;1220;Aqua;MODIS;91;6.03;300,7;92,3;D;0;107;292,97998;292,97998;292,97998;16,300751;16,300751;16,300751;218,41666;24m;Airbus_WorldDEM4Ortho_24m;Airbus Defence and Space GmbH;http://www.intelligence-airbusds.com/worlddem
